clave,nombre,tipo,creditos,teo,lab,eje,req,requisitos
119,ACTIVIDADES CULTURALES Y DEPORTIVAS,OBL,4,0,4,C,0,0
120,ESTRATEGIAS PARA APRENDER A APRENDER,OBL,3,0,3,C,0,0
121,CARACTERÃSTICAS DE LA SOCIEDAD ACTUAL,OBL,3,0,3,C,0,0
123,"NUEVAS TECNOLOGÍAS DE LA INFORMACIÓN Y LA
COMUNICACIÓN ",OBL,3,0,3,C,0,0
124,ÉTICA Y DESARROLLO PROFESIONAL,OBL,3,0,3,C,0,0
6881,CÁLCULO DIFERENCIAL E INTEGRAL I,OBL,8,3,2,B,0,0
6886,GEOMETRÍA ANALÍTICA,OBL,8,3,2,B,0,0
9100,ÁLGEBRA SUPERIOR I,OBL,8,3,2,B,0,0
9440,INTRODUCCIÓN A LAS CIENCIAS DE LA COMPUTACIÓN,OBL,6,3,0,B,0,0
9441,DISEÑO DE ALGORITMOS,OBL,2,0,2,B,0,0
6884,CÁLCULO DIFERENCIAL E INTEGRAL II,OBL,8,3,2,B,0,6881
8151,MECÁNICA I CON LABORATORIO,OBL,10,3,4,B,0,6881
9102,ÁLGEBRA LINEAL I,OBL,8,3,2,B,0,6886
9442,MATEMÁTICAS DISCRETAS,OBL,8,3,2,B,0,9100
9443,HISTORIA DE LA CIENCIA Y TECNOLOGÍA,OBL,8,4,0,B,0,0
9444,PROGRAMACIÓN DE COMPUTADORAS,OBL,8,2,4,B,0,"9100,9441"
6889,CÁLCULO DIFERENCIAL E INTEGRAL III,OBL,8,3,2,B,0,"6884,9102"
6895,ECUACIONES DIFERENCIALES I ,OBL,8,3,2,B,0,"6884,9102"
8156,"FLUÍDOS Y FENÓMENOS TÉRMICOS CON
LABORATORIO",OBL,10,3,4,B,0,"6884,8151"
9282,EXPRESIÓN ORAL Y ESCRITA,OBL,8,3,2,B,0,0
9447,ANÁLISIS NUMÉRICO I,OBL,9,4,1,B,0,6884
9448,PROGRAMACIÓN AVANZADA,OBL,8,3,2,B,0,9444
394,CONTEXTO REGIONAL,SEL,16,8,0,P,0,0
395,INTRODUCCIÓN A LA HISTORIA DEL ARTE,SEL,16,8,0,P,0,0
396,REDACCIÓN E INVESTIGACIÓN DOCUMENTAL I,SEL,8,4,0,P,0,0
397,REDACCIÓN E INVESTIGACIÓN DOCUMENTAL II,SEL,8,4,0,P,0,0
398,HISTORIA DE MÉXICO I ,SEL,8,4,0,P,0,0
890,CONTEXTO REGIONAL,SEL,8,4,0,P,0,0
891,INTRODUCCIÓN A LA HISTORIA DEL ARTE,SEL,8,4,0,P,0,0
892,TEORÍA ECONÓMICA,SEL,8,4,0,P,0,0
893,ECONOMÍA POLÍTICA,SEL,8,4,0,P,0,0
6983,TEORÍA ECONÓMICA,SEL,10,5,0,P,0,0
7894,"FAMILIA, INDIVIDUO Y SOCIEDAD",SEL,8,4,0,P,0,0
8161,ELECTROMAGNETISMO CON LABORATORIO,OBL,10,3,4,B,0,8156
8510,ECONOMÍA POLÍTICA,SEL,8,3,2,P,0,0
9445,PROBABILIDAD,OBL,8,3,2,B,0,6884
9446,TEORÍA DE LA COMPUTACIÓN,OBL,8,3,2,P,0,9442
9449,INGENIERÍA DE SOFTWARE I,OBL,8,3,2,P,0,9448
9450,ESTRUCTURA DE DATOS,OBL,8,3,2,P,0,9448
9156,ESTADÍSTICA,OBL,8,3,2,B,0,9445
9451,DISEÑO DE SISTEMAS DIGITALES,OBL,8,2,4,P,0,0
9452,LENGUAJES DE PROGRAMACIÓN,OBL,8,3,2,P,0,"9446,9450"
9453,INGENIERIA DE SOFTWARE II,OBL,8,3,2,P,0,9449
9454,ANÁLISIS LÓGICO,OBL,8,3,2,P,0,0
9455,ARQUITECTURA DE COMPUTADORAS,OBL,8,2,4,P,0,9451
9456,ANÁLISIS DE ALGORITMOS I ,OBL,8,3,2,P,0,9450
9457,BASES DE DATOS I,OBL,8,3,2,P,0,"9449,9452"
9458,INTELIGENCIA ARTIFICIAL,OBL,8,3,2,P,0,"9452,9454"
9459,SISTEMAS OPERATIVOS,OBL,8,2,4,P,0,9455
9460,ANÁLISIS Y DISEÑO ORIENTADO A OBJETOS,OBL,8,3,2,P,0,"9453,9457"
9461,REDES DE COMPUTADORAS I,OBL,8,3,2,P,0,9455
283,LABORATORIO DE INGENIERÍA DE SOFTWARE,OPT,6,1,4,I,0,9460
284,SEMINARIO DE INGENIERÍA DE SOFTWARE,OPT,8,2,4,I,0,9460
285,TÓPICOS AVANZADOS DE INGENIERÍA DE SOFTWARE,OPT,6,3,0,I,0,9460
286,LABORATORIO DE INTELIGENCIA ARTIFICIAL,OPT,6,1,4,I,150,0
287,SEMINARIO DE INTELIGENCIA ARTIFICIAL ,OPT,8,2,4,I,150,0
288,TÓPICOS AVANZADOS DE INTELIGENCIA ARTIFICIAL,OPT,6,3,0,I,0,9458
289,LABORATORIO DE INTERFACES DE USUARIO,OPT,6,1,4,I,150,0
290,SEMINARIO DE INTERFACES DE USUARIO,OPT,8,2,4,I,150,0
291,TÓPICOS AVANZADOS DE INTERFACES DE USUARIO,OPT,6,3,0,I,150,0
292,LABORATORIO DE OPTIMIZACIÓN ,OPT,6,1,4,I,150,0
293,SEMINARIO DE OPTIMIZACIÓN,OPT,8,2,4,I,150,0
294,TÓPICOS AVANZADOS DE OPTIMIZACIÓN,OPT,6,3,0,I,150,0
295,LABORATORIO DE REDES DE COMPUTADORAS,OPT,6,1,4,I,0,9461
296,SEMINARIO DE REDES DE COMPUTADORAS,OPT,8,2,4,I,0,9461
297,TÓPICOS AVANZADOS DE REDES DE COMPUTADORAS,OPT,6,3,0,I,0,"9459,9461"
298,"LABORATORIO DE VISIÓN Y PROCESAMIENTO DE
IMÁGENES ",OPT,6,1,4,I,150,0
299,"SEMINARIO DE VISIÓN Y PROCESAMIENTO DE
IMÁGENES ",OPT,8,2,4,I,150,0
300,"TÓPICOS AVANZADOS DE VISIÓN Y PROCESAMIENTO
DE IMÁGENES",OPT,6,3,0,I,150,0
9511,LABORATORIO DE CIENCIAS COMPUTACIONALES,OPT,6,1,4,I,150,0
9512,SEMINARIO DE CIENCIAS COMPUTACIONALES,OPT,8,2,4,I,150,0
9513,TÓPICOS AVANZADOS DE CIENCIAS COMPUTACIONALES,OPT,6,3,0,I,150,0
9514,LABORATORIO DE CIENCIAS DE LA COMPUTACIÓN,OPT,6,1,4,I,150,0
9515,SEMINARIO DE CIENCIAS DE LA COMPUTACIÓN,OPT,8,2,4,I,150,0
9516,"TÓPICOS AVANZADOS DE CIENCIAS DE LA
COMPUTACIÓN ",OPT,6,3,0,I,150,0
9517,LABORATORIO DE CÓMPUTO ADMINISTRATIVO,OPT,6,1,4,I,150,0
9518,SEMINARIO DE CÓMPUTO ADMINISTRATIVO,OPT,8,2,4,I,150,0
9518,TÓPICOS AVANZADOS DE CÓMPUTO ADMINISTRATIVO,OPT,6,3,0,I,150,0
9462,ÁLGEBRA LINEAL AVANZADA,OPT,8,3,2,E,0,9102
9463,COMPUTACIÓN SIMBÓLICA,OPT,8,3,2,E,0,9470
9464,ECUACIONES DIFERENCIALES PARCIALES I,OPT,8,3,2,E,0,6895
9465,PROCESOS PARALELOS Y DISTRIBUIDOS,OPT,8,3,2,E,0,9459
9466,"SOLUCIÓN NUMÉRICA DE ECUACIONES
DIFERENCIALES",OPT,8,3,2,E,0,9464
9467,SUPERCÓMPUTO,OPT,8,3,2,E,0,9459
9468,ANÁLISIS DE ALGORITMOS II,OPT,8,3,2,E,0,9456
9470,INTRODUCCIÓN AL ÁLGEBRA MODERNA,OPT,8,3,2,E,0,"9100,9102"
9471,PROBABILIDAD Y PROCESOS ESTOCÁSTICOS,OPT,8,3,2,E,0,9445
9472,PROGRAMACIÓN DE SISTEMAS,OPT,8,3,2,E,0,9458
9473,PROGRAMACIÓN FUNCIONAL Y LÓGICA,OPT,8,3,2,E,0,9446
9474,TEORÍA DE CÓDIGOS,OPT,8,3,2,E,0,9470
